GO Term	Size	RealTPD	RealPvalue	ShuffledTPD	ShuffledPvalue
GO:0032153	8	62.0	7.433626741253301E-5	165.0	0.7696679450126278
GO:0032154	6	29.0	2.9302912148518106E-4	86.0	0.6777366966139335
GO:0032155	8	62.0	7.433626741253301E-5	186.0	0.9516990807631238
GO:0032200	5	19.0	9.800823918495554E-4	54.0	0.5407549736279719
GO:0032201	5	19.0	9.800823918495554E-4	33.0	0.0346336184683428
GO:0032268	39	3791.0	0.22333314441506408	3811.0	0.25127817567285105
GO:0032269	15	528.0	0.3117107493284762	540.0	0.38802209602482046
GO:0032270	25	1399.0	0.04984301342113867	1699.0	0.8030307117306887
GO:0032271	6	37.0	0.0019219979005854805	70.0	0.26331071756820634
GO:0032273	5	22.0	0.0023866613017287396	70.0	0.9411414876310806
GO:0032279	4	14.0	0.010269958523749992	43.0	0.9309708097348283
GO:0032386	15	450.0	0.033368111342211314	523.0	0.28194919174296507
GO:0032387	3	18.0	0.6734554176570715	21.0	0.8611386820779643
GO:0032388	7	70.0	0.013139189587928816	92.0	0.15084025694274086
GO:0032409	6	42.0	0.005407226665640044	90.0	0.7688353935012626
GO:0032412	6	42.0	0.005407226665640044	91.0	0.7891358141655076
GO:0032446	12	158.0	2.298257143272932E-6	341.0	0.4201182984249261
GO:0032465	3	6.0	0.017663661769845344	12.0	0.2049491548637462
GO:0032467	3	6.0	0.017663661769845344	15.0	0.42580108506480596
GO:0032482	8	28.0	6.147323355405077E-8	94.0	0.008526162027892076
GO:0032496	4	32.0	0.5168213003721176	45.0	0.9595065485323943
GO:0032501	67	11153.0	0.03852793983866126	11375.0	0.10521209949119958
GO:0032502	51	6377.0	0.06886121503809789	6461.0	0.11248253487510862
GO:0032504	6	57.0	0.0639425921305322	59.0	0.08292296997893871
GO:0032535	9	96.0	2.5151813507071026E-4	222.0	0.8757750504145283
GO:0032543	4	6.0	3.678756898097148E-4	38.0	0.7962049654024463
GO:0032549	13	194.0	1.4480601032142978E-6	372.0	0.1898138523317489
GO:0032550	13	194.0	1.4480601032142978E-6	366.0	0.15705041684365745
GO:0032553	40	3743.0	0.030447196120347974	4522.0	0.9395641101155159
GO:0032555	39	3536.0	0.02774575833150244	4089.0	0.7216125531133644
GO:0032559	26	1835.0	0.797805128930932	1654.0	0.2783663847450283
GO:0032561	13	194.0	1.4480601032142978E-6	330.0	0.03794178653371744
GO:0032680	3	16.0	0.510033481788937	25.0	0.9731892080128133
GO:0032774	8	78.0	0.0010027151416836604	135.0	0.28029555559429614
GO:0032784	3	4.0	0.005483653277737073	15.0	0.42580108506480596
GO:0032786	3	4.0	0.005483653277737073	13.0	0.2703766711819732
GO:0032787	8	177.0	0.8971791308116857	122.0	0.12428261908044179
GO:0032838	4	16.0	0.01998414835164898	47.0	0.9776177596529455
GO:0032868	6	70.0	0.26331071756820634	80.0	0.5203063785965019
GO:0032869	5	29.0	0.014547153757395249	67.0	0.9015244960021209
GO:0032870	16	402.0	1.1986259816242101E-4	682.0	0.7629788560096276
GO:0032879	49	4774.0	1.1920434088632523E-7	5740.0	0.02873088388825413
GO:0032880	25	1221.0	8.768831470253868E-4	1620.0	0.5770920024578589
GO:0032886	8	88.0	0.00403029691043114	147.0	0.47843701071927086
GO:0032940	26	1652.0	0.2731184431326001	1835.0	0.797805128930932
GO:0032947	6	48.0	0.016251065634282965	61.0	0.10585872120981764
GO:0032956	5	24.0	0.004155731517235801	41.0	0.1388238442202108
GO:0032968	3	4.0	0.005483653277737073	17.0	0.5938024080403933
GO:0032970	6	37.0	0.0019219979005854805	65.0	0.16472580822604932
GO:0032981	6	38.0	0.002384193574918713	79.0	0.4930240941476402
GO:0032984	4	6.0	3.678756898097148E-4	28.0	0.3149684288245026
GO:0032989	9	109.0	0.0013450313578067742	189.0	0.4763368882701345
GO:0032990	6	48.0	0.016251065634282965	74.0	0.3595977937852082
GO:0032991	111	33449.0	0.5660392643938609	32430.0	0.09506427832861974
GO:0032993	5	19.0	9.800823918495554E-4	46.0	0.26476859443194456
GO:0033036	72	12572.0	0.004325626411985508	13093.0	0.06609838514621158
GO:0033043	25	1347.0	0.018784980587191195	1633.0	0.6189575899871774
GO:0033044	6	86.0	0.6777366966139335	92.0	0.8083510037449821
GO:0033108	6	38.0	0.002384193574918713	92.0	0.8083510037449821
GO:0033116	5	26.0	0.00701751291606698	57.0	0.6467195404567794
GO:0033157	11	228.0	0.042519590471407784	330.0	0.853938618102225
GO:0033218	8	152.0	0.5658727987566742	159.0	0.6821823857699445
GO:0033260	5	19.0	9.800823918495554E-4	34.0	0.04223757508879553
GO:0033365	33	2311.0	0.002156197389056007	2620.0	0.13454077127396202
